dpi,nbi_maand,bijdrage_werkboek,bijdrage_werknemer,zone,bijdrage_huidig,ratio_huidig,bijdrage_geen_degressieve_schijf,ratio_geen_degressieve_schijf,bijdrage_geen_plafond,ratio_geen_plafond,bijdrage_vlak_20_5,ratio_vlak_20_5,ratio_werknemer,gewicht_gelijk,gewicht_silc_A,gewicht_adi2023
1550.0,1662.9753581666666,351.19130850000005,0.0,onder tussengrens,351.30770185110373,0.22665013022651853,351.30770185110373,0.22665013022651853,351.30770185110373,0.22665013022651853,351.30770185110373,0.22665013022651853,0.0,0.029411764705882353,0.19918306305646422,0.19285857057898903
1800.0,2101.9403058333332,443.8930275,0.0,onder tussengrens,444.0401444580562,0.24668896914336455,444.0401444580562,0.24668896914336455,444.0401444580562,0.24668896914336455,444.0401444580562,0.24668896914336455,0.0,0.029411764705882353,0.08470351539926756,0.07719900010117442
2000.0,2480.358364166667,523.8083025,1.51,onder tussengrens,523.9819053261187,0.2619909526630594,523.9819053261187,0.2619909526630594,523.9819053261187,0.2619909526630594,523.9819053261187,0.2619909526630594,0.000755,0.029411764705882353,0.08687610975105159,0.08386022144847154
2250.0,2964.7334788333333,626.0998545,176.25,onder tussengrens,626.3073592372388,0.2783588263276617,626.3073592372388,0.2783588263276617,626.3073592372388,0.2783588263276617,626.3073592372388,0.2783588263276617,0.07833333333333334,0.029411764705882353,0.11279717661632804,0.09824647555405316
2500.0,3464.2453158333333,731.5880175000001,526.95,onder tussengrens,731.8304835830812,0.2927321934332325,731.8304835830812,0.2927321934332325,731.8304835830812,0.2927321934332325,731.8304835830812,0.2927321934332325,0.21078000000000002,0.029411764705882353,0.08585570974881154,0.09677451195708246
2750.0,3948.6204304999997,833.8795695,611.04,onder tussengrens,834.1559374942011,0.30332943181607314,834.1559374942011,0.30332943181607314,834.1559374942011,0.30332943181607314,834.1559374942011,0.30332943181607314,0.22219636363636364,0.029411764705882353,0.07940140056459302,0.08783168534279616
3000.0,4493.5424345,948.9575655,697.55,onder tussengrens,949.2720731442113,0.31642402438140377,949.2720731442113,0.31642402438140377,949.2720731442113,0.31642402438140377,949.2720731442113,0.31642402438140377,0.23251666666666665,0.029411764705882353,0.08925479753997932,0.07441497775397862
3250.0,5038.4644385,1064.0355615,782.0,onder tussengrens,1064.388208794221,0.3275040642443757,1064.388208794221,0.3275040642443757,1064.388208794221,0.3275040642443757,1064.388208794221,0.3275040642443757,0.24061538461538462,0.029411764705882353,0.07315676135522033,0.0596583267734509
3500.0,5583.3864425,1179.1135575,872.95,onder tussengrens,1179.504344444231,0.3370012412697803,1179.504344444231,0.3370012412697803,1179.504344444231,0.3370012412697803,1179.504344444231,0.3370012412697803,0.24941428571428573,0.029411764705882353,0.03624137061881616,0.04676599850459358
3750.0,6128.3084465,1294.1915535,958.86,onder tussengrens,1294.6204800942412,0.345232128025131,1294.6204800942412,0.345232128025131,1294.6204800942412,0.345232128025131,1294.6204800942412,0.345232128025131,0.255696,0.029411764705882353,0.06457749168083599,0.036481994664903164
4000.0,6696.6943482116085,1385.8056517883833,1036.59,degressieve schijf,1385.6428356743197,0.34641070891857995,1414.6934227955726,0.35367335569889313,1385.6428356743197,0.34641070891857995,1414.6934227955726,0.35367335569889313,0.2591475,0.029411764705882353,0.022085880703404264,0.028085756377069445
4250.0,7240.633839544942,1465.1994937883835,1120.3,degressieve schijf,1465.0138335222903,0.3447091372993624,1529.6020001884674,0.35990635298552176,1465.0138335222903,0.3447091372993624,1529.6020001884674,0.35990635298552176,0.2636,0.029411764705882353,0.014769163711226604,0.021039332150498035
4500.0,7816.569771544941,1549.2635617883834,1204.01,degressieve schijf,1549.0537135966117,0.34423415857702483,1651.2699056632975,0.3669488679251772,1549.0537135966117,0.34423415857702483,1651.2699056632975,0.3669488679251772,0.2675577777777778,0.029411764705882353,0.005914744722618688,0.016210107072087927
4750.0,8344.511042544917,1626.3222907883835,1281.74,degressieve schijf,1626.090270331403,0.34233479375397957,1762.7988190152198,0.37111554084530946,1626.090270331403,0.34233479375397957,1762.7988190152198,0.37111554084530946,0.26984,0.029411764705882353,0.006697150526632377,0.012675173538709021
5000.0,8888.45053387825,1705.7161327883832,1365.45,degressieve schijf,1705.4612681793733,0.34109225363587464,1877.7073964081146,0.3755414792816229,1705.4612681793733,0.34109225363587464,1877.7073964081146,0.3755414792816229,0.27309,0.029411764705882353,0.005602682357229834,0.009647345653574016
5250.0,9427.769079755417,1753.0642535778668,1443.18,boven plafond,1752.8972033745,0.33388518159514285,1946.3823025874997,0.3707394862071428,1784.1579832115144,0.33983961584981226,1991.6397875210312,0.3793599595278155,0.27489142857142856,0.029411764705882353,0.011304308367414148,0.007618923060598513
5500.0,9977.769079755417,1753.0642535778668,1526.88,boven plafond,1752.8972033745,0.3187085824317272,1946.3823025874997,0.3538876913795454,1864.4133232115146,0.33898424058391174,2107.828662521031,0.38324157500382383,0.27761454545454545,0.029411764705882353,0.001278809867533912,0.006028511429001511
5750.0,10527.769079755417,1753.0642535778668,1604.61,boven plafond,1752.8972033745,0.30485168754339126,1946.3823025874997,0.33850127001521735,1944.6686632115145,0.3382032457759156,2224.017537521031,0.38678565869930975,0.27906260869565214,0.029411764705882353,0.0037226959985903656,0.0049920911260213086
6000.0,11077.769079755417,1753.0642535778668,1688.32,boven plafond,1752.8972033745,0.29214953389575,1946.3823025874997,0.32439705043124994,2024.9240032115144,0.33748733386858576,2340.206412521031,0.3900344020868385,0.2813866666666667,0.029411764705882353,0.0,0.003975412162145407
