scenario,type,kakwani,ratio
rapport_gelijk,WN,0.07227278397355913,0.2459543393944898
rapport_gelijk,ZE,-0.1592350071284292,0.26059264584253083
rapport_gelijk,ZV100VAA,-0.16427292714029412,0.2690432812938652
rapport_gelijk,ZV100,-0.16425687290708404,0.26902151847274824
rapport_gelijk,ZV75,-0.0941193860205877,0.21942257784517658
rapport_gelijk,ZV50,-0.01166305429801967,0.15680835971374366
rapport_gelijk,ZV00,-0.31345006077657445,0.07375623381264915
hoofd,WN,0.22842950635704753,0.17150144478336218
hoofd,ZE,0.038341711143651175,0.2835304386104442
hoofd,ZV100VAA,0.010729268793793906,0.3057143090860315
hoofd,ZV100,0.010934730381289864,0.3056002113772101
hoofd,ZV75,0.03008467160067721,0.21986313295676493
hoofd,ZV50,-0.0476506809039032,0.1601001423278501
hoofd,ZV00,-0.24527074280466862,0.13773307278859143
zelfst_voor_iedereen,WN,0.3178875618792045,0.1402223993816163
zelfst_voor_iedereen,ZE,0.038341711143651175,0.2835304386104442
zelfst_voor_iedereen,ZV100VAA,0.010729268793793906,0.3057143090860315
zelfst_voor_iedereen,ZV100,0.010934730381289864,0.3056002113772101
zelfst_voor_iedereen,ZV75,0.03008467160067721,0.21986313295676493
zelfst_voor_iedereen,ZV50,-0.0476506809039032,0.1601001423278501
zelfst_voor_iedereen,ZV00,-0.24527074280466862,0.13773307278859143
top_op_laagste,WN,0.22765169439057192,0.17143004329373795
top_op_laagste,ZE,0.05376753793786235,0.2848517585849482
top_op_laagste,ZV100VAA,0.02615509558800519,0.3070599578927727
top_op_laagste,ZV100,0.026360557175501093,0.3069458601839513
top_op_laagste,ZV75,0.04545201408213137,0.22120122040926476
top_op_laagste,ZV50,-0.04607544224648455,0.16026098055521285
top_op_laagste,ZV00,-0.22984491601045734,0.13798113255814384
top_gelijk,WN,0.2292473168177841,0.17156213628291314
top_gelijk,ZE,0.03042328415072454,0.2829700677993375
top_gelijk,ZV100VAA,0.0028108418008673808,0.3051436204354029
top_gelijk,ZV100,0.0030163033883633394,0.30502952272658146
top_gelijk,ZV75,0.022170060290393034,0.21929295521626196
top_gelijk,ZV50,-0.050662962272711914,0.15990757006558703
top_gelijk,ZV00,-0.2531891697975952,0.1376278708261983
onder_rooster_weg,WN,0.20700178287017987,0.18101329642790365
onder_rooster_weg,ZE,0.025393427553951436,0.29129477569441475
onder_rooster_weg,ZV100VAA,0.0024798668598227658,0.31028071904395904
onder_rooster_weg,ZV100,0.002262005402970446,0.31035977112652535
onder_rooster_weg,ZV75,0.03155596602884167,0.22088986561722068
onder_rooster_weg,ZV50,-0.022609547000526115,0.15297979855107144
onder_rooster_weg,ZV00,-0.2319960496684134,0.1275635806459826
inkomens_plus3,WN,0.2097389515378927,0.17851197761002438
inkomens_plus3,ZE,0.033609063444179244,0.2857584341960501
inkomens_plus3,ZV100VAA,0.007169339088662907,0.3070003342951721
inkomens_plus3,ZV100,0.007315716583996823,0.3068964535938815
inkomens_plus3,ZV75,0.029202965023211513,0.22079938821675107
inkomens_plus3,ZV50,-0.041183254191525215,0.15889679411808627
inkomens_plus3,ZV00,-0.24769731642861514,0.13462509855803031
