pos,w_werknemers,w_zelfstandigen
1550,0.10026052834335748,0.19285857057898878
1800,0.05564977791581307,0.07719900010117435
2000,0.06883988635979031,0.0838602214484714
2250,0.09331796363433655,0.09824647555405303
2500,0.10471483434769364,0.09677451195708231
2750,0.10699639847338274,0.08783168534279602
3000,0.10132693061934711,0.0744149777539785
3250,0.08763475861409911,0.05965832677345085
3500,0.07036375617923617,0.04676599850459355
3750,0.053521791326472716,0.03648199466490311
4000,0.03973943183876947,0.02808575637706945
4250,0.028967701732276568,0.021039332150498097
4500,0.02083808659192852,0.01621010707208797
4750,0.015118249128486303,0.012675173538709065
5000,0.010890188278812711,0.009647345653574045
5250,0.008076856458558553,0.007618923060598507
5500,0.00592470042027765,0.006028511429001507
5750,0.00451793496546795,0.004992091126021305
6000,0.0035300535351303138,0.003975412162145488
6250,0.0027233434271641513,0.003337520142335055
6500,0.0021433961062101944,0.002795867150658497
6750,0.0017671172059002124,0.002441756880473595
7000,0.0029005394342209857,0.004480808650812933
7500,0.0029627543287100992,0.004950888848209284
8000,0.0019935482275778636,0.0036506209126633345
8500,0.0013741680922812276,0.0027422280354000334
9000,0.0009676729654189864,0.0020939578002865155
9500,0.0006945186702954703,0.00162250208731915
10000,0.0007087031514051278,0.0018081296506310945
11000,0.0005716783062362301,0.001636528011187811
12000,0.00033473222696765454,0.0010845342643647428
13000,0.0002046482880219057,0.0007429588200098625
14000,0.00012979860683123373,0.0005235195863376085
15000,0.00029355219952170383,0.0017237639101130924
