jaar,stelsel,definitie,deflator,reeks,waarde
2012,zelfstandigen,Z1,cpi,index_bijdragen_pc,117.065854952
2013,zelfstandigen,Z1,cpi,index_bijdragen_pc,119.887943077
2014,zelfstandigen,Z1,cpi,index_bijdragen_pc,118.776848729
2015,zelfstandigen,Z1,cpi,index_bijdragen_pc,123.271601744
2016,zelfstandigen,Z1,cpi,index_bijdragen_pc,121.801579406
2017,zelfstandigen,Z1,cpi,index_bijdragen_pc,119.094453565
2018,zelfstandigen,Z1,cpi,index_bijdragen_pc,117.122115234
2019,zelfstandigen,Z1,cpi,index_bijdragen_pc,114.923683757
2020,zelfstandigen,Z1,cpi,index_bijdragen_pc,103.275466079
2021,zelfstandigen,Z1,cpi,index_bijdragen_pc,107.301662768
2022,zelfstandigen,Z1,cpi,index_bijdragen_pc,99.8226320602
2023,zelfstandigen,Z1,cpi,index_bijdragen_pc,107.369728334
2003,zelfstandigen,Z1,cpi,index_uitgaven_pc,100
2004,zelfstandigen,Z1,cpi,index_uitgaven_pc,105.012266484
2005,zelfstandigen,Z1,cpi,index_uitgaven_pc,105.952740245
2006,zelfstandigen,Z1,cpi,index_uitgaven_pc,109.558930588
2007,zelfstandigen,Z1,cpi,index_uitgaven_pc,110.402184449
2008,zelfstandigen,Z1,cpi,index_uitgaven_pc,119.798798373
2009,zelfstandigen,Z1,cpi,index_uitgaven_pc,126.880961056
2010,zelfstandigen,Z1,cpi,index_uitgaven_pc,129.277096643
2011,zelfstandigen,Z1,cpi,index_uitgaven_pc,129.913475932
2012,zelfstandigen,Z1,cpi,index_uitgaven_pc,125.832898763
2013,zelfstandigen,Z1,cpi,index_uitgaven_pc,128.181675749
2014,zelfstandigen,Z1,cpi,index_uitgaven_pc,131.643405209
2015,zelfstandigen,Z1,cpi,index_uitgaven_pc,114.931754831
2016,zelfstandigen,Z1,cpi,index_uitgaven_pc,112.072415923
2017,zelfstandigen,Z1,cpi,index_uitgaven_pc,116.811337577
2018,zelfstandigen,Z1,cpi,index_uitgaven_pc,116.76483874
2019,zelfstandigen,Z1,cpi,index_uitgaven_pc,116.704833958
2020,zelfstandigen,Z1,cpi,index_uitgaven_pc,169.398017847
2021,zelfstandigen,Z1,cpi,index_uitgaven_pc,145.792595469
2022,zelfstandigen,Z1,cpi,index_uitgaven_pc,126.232821394
2023,zelfstandigen,Z1,cpi,index_uitgaven_pc,121.112858472
2003,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.644744096641
2004,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.629579442164
2005,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.638568187389
2006,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.632461476935
2007,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.631257985071
2008,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.623542997455
2009,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.615244281401
2010,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.603546608138
2011,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.583281139673
2012,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.599823413751
2013,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.603027251014
2014,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.581728130736
2015,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.691528965381
2016,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.700715235206
2017,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.657345831933
2018,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.646716881539
2019,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.634904006576
2020,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.393075715577
2021,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.474524192444
2022,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.509851970518
2023,zelfstandigen,Z1,cpi,ratio_bijdragen_uitgaven,0.571582566662
2003,zelfstandigen,Z2,cpi,populatie,853157
2004,zelfstandigen,Z2,cpi,populatie,856519
2005,zelfstandigen,Z2,cpi,populatie,863572
2006,zelfstandigen,Z2,cpi,populatie,877436
2007,zelfstandigen,Z2,cpi,populatie,901280
2008,zelfstandigen,Z2,cpi,populatie,920415
2009,zelfstandigen,Z2,cpi,populatie,930560
2010,zelfstandigen,Z2,cpi,populatie,948805
2011,zelfstandigen,Z2,cpi,populatie,965752
2012,zelfstandigen,Z2,cpi,populatie,984354
2013,zelfstandigen,Z2,cpi,populatie,996415
2014,zelfstandigen,Z2,cpi,populatie,1010704
2015,zelfstandigen,Z2,cpi,populatie,1030641
2016,zelfstandigen,Z2,cpi,populatie,1052469
2017,zelfstandigen,Z2,cpi,populatie,1081567
2018,zelfstandigen,Z2,cpi,populatie,1106330
2019,zelfstandigen,Z2,cpi,populatie,1137274
2020,zelfstandigen,Z2,cpi,populatie,1177227
2021,zelfstandigen,Z2,cpi,populatie,1223537
2022,zelfstandigen,Z2,cpi,populatie,1249134
2023,zelfstandigen,Z2,cpi,populatie,1241323
2003,zelfstandigen,Z2,cpi,index_populatie,100
2004,zelfstandigen,Z2,cpi,index_populatie,100.394065805
2005,zelfstandigen,Z2,cpi,index_populatie,101.220760071
2006,zelfstandigen,Z2,cpi,index_populatie,102.845783367
2007,zelfstandigen,Z2,cpi,index_populatie,105.640579635
2008,zelfstandigen,Z2,cpi,index_populatie,107.883425911
2009,zelfstandigen,Z2,cpi,index_populatie,109.072538818
2010,zelfstandigen,Z2,cpi,index_populatie,111.211066662
2011,zelfstandigen,Z2,cpi,index_populatie,113.197453693
2012,zelfstandigen,Z2,cpi,index_populatie,115.377826121
2013,zelfstandigen,Z2,cpi,index_populatie,116.791516685
2014,zelfstandigen,Z2,cpi,index_populatie,118.466354962
2015,zelfstandigen,Z2,cpi,index_populatie,120.803205037
2016,zelfstandigen,Z2,cpi,index_populatie,123.361702477
2017,zelfstandigen,Z2,cpi,index_populatie,126.772329126
2018,zelfstandigen,Z2,cpi,index_populatie,129.674842966
2019,zelfstandigen,Z2,cpi,index_populatie,133.301842451
2020,zelfstandigen,Z2,cpi,index_populatie,137.984802328
2021,zelfstandigen,Z2,cpi,index_populatie,143.412877114
2022,zelfstandigen,Z2,cpi,index_populatie,146.413145529
2023,zelfstandigen,Z2,cpi,index_populatie,145.497604778
2003,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.56920733399
