weging,tot_dpi,aandeel_gewicht,aandeel_bijdragen,opbrengst_schijf_als_aandeel_bijdragen_onderaan
gelijk,1550,0.029411764705882353,0.007164322667384118,11.901323215469189
gelijk,2000,0.08823529411764706,0.026905484837337873,3.1690534550830707
gelijk,2500,0.14705882352941177,0.05460239464455228,1.5615600788116295
silc_A,1550,0.19918306305646422,0.08956727722950654,0.14924096841620635
silc_A,2000,0.3707626882067833,0.19597769831798315,0.06820728739474027
silc_A,2500,0.5694155745719228,0.3668286677550103,0.036439647080859346
adi2023,1550,0.19285857057898903,0.08240958792514504,0.2730055826091912
adi2023,2000,0.353917792128635,0.17755170072165163,0.12671395133160798
adi2023,2500,0.5489387796397706,0.3385389848718659,0.06645697709704836
