type,positie,bruto_60pct,minimum,maximum,bruto,personenbelasting,netto,inhouding,inhouding_pct,bindend
ZV100,1550,1100.3316,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV100,1800,1351.29,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV100,2000,1568.4599999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV100,2250,1858.02,1773.3499999999999,3798.8759999999997,1858.02,131.3450302,1726.6749890000001,-1.9200000224373071e-05,-1.0333581029468505e-06,-
ZV100,2500,2123.4540000000002,1773.3499999999999,3798.8759999999997,2123.4540000000002,223.0553018,1825.016179,75.382519200000161,3.549995394296281,-
ZV100,2750,2413.0140000000001,1773.3499999999999,3798.8759999999997,2413.0140000000001,357.81746120000003,1969.534461,85.662077799999906,3.55000334850937,-
ZV100,3000,2702.5740000000001,1773.3499999999999,3798.8759999999997,2702.5740000000001,507.935631,2098.6969680000002,95.941401000000042,3.5500008880422902,-
ZV100,3250,3016.2659999999996,1773.3499999999999,3798.8759999999997,3016.2659999999996,670.56472410000003,2238.6239420000002,107.0773338999993,3.549996382944983,-
ZV100,3500,3329.9580000000001,1773.3499999999999,3798.8759999999997,3329.9580000000001,806.34504470000002,2355.4500840000001,168.16287130000001,5.0499997687658524,-
ZV100,3750,3619.5179999999996,1773.3499999999999,3798.8759999999997,3619.5179999999996,944.40079549999996,2474.2340180000001,200.88318649999928,5.5499982732507283,-
ZV100,4000,3943.2660000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,4250,4249.308,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,4500,4555.3499999999995,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,4750,4863.5940000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,5000,5203.9199999999992,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,5250,5518.0680000000002,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
