scenario,groep,positie,gewicht
hoofd,zelfstandigen,6750,0.0024417568804735953
hoofd,zelfstandigen,7000,0.0044808086508129341
hoofd,zelfstandigen,7500,0.0049508888482092846
hoofd,zelfstandigen,8000,0.0036506209126633349
hoofd,zelfstandigen,8500,0.0027422280354000338
hoofd,zelfstandigen,9000,0.0020939578002865159
hoofd,zelfstandigen,9500,0.0016225020873191502
hoofd,zelfstandigen,10000,0.0018081296506310947
hoofd,zelfstandigen,11000,0.0016365280111878113
hoofd,zelfstandigen,12000,0.001084534264364743
hoofd,zelfstandigen,13000,0.00074295882000986258
hoofd,zelfstandigen,14000,0.00052351958633760863
hoofd,zelfstandigen,15000,0.0017237639101130926
zelfst_voor_iedereen,werknemers,1550,0.19285857057898881
zelfst_voor_iedereen,werknemers,1800,0.077199000101174364
zelfst_voor_iedereen,werknemers,2000,0.083860221448471411
zelfst_voor_iedereen,werknemers,2250,0.098246475554053039
zelfst_voor_iedereen,werknemers,2500,0.096774511957082324
zelfst_voor_iedereen,werknemers,2750,0.087831685342796034
zelfst_voor_iedereen,werknemers,3000,0.074414977753978512
zelfst_voor_iedereen,werknemers,3250,0.059658326773450857
zelfst_voor_iedereen,werknemers,3500,0.046765998504593558
zelfst_voor_iedereen,werknemers,3750,0.036481994664903115
zelfst_voor_iedereen,werknemers,4000,0.028085756377069452
zelfst_voor_iedereen,werknemers,4250,0.021039332150498101
zelfst_voor_iedereen,werknemers,4500,0.016210107072087972
zelfst_voor_iedereen,werknemers,4750,0.012675173538709067
zelfst_voor_iedereen,werknemers,5000,0.0096473456535740472
zelfst_voor_iedereen,werknemers,5250,0.0076189230605985077
zelfst_voor_iedereen,werknemers,5500,0.0060285114290015082
zelfst_voor_iedereen,werknemers,5750,0.004992091126021306
zelfst_voor_iedereen,werknemers,6000,0.0039754121621454891
zelfst_voor_iedereen,werknemers,6250,0.0033375201423350553
zelfst_voor_iedereen,werknemers,6500,0.0027958671506584975
zelfst_voor_iedereen,werknemers,6750,0.0024417568804735953
zelfst_voor_iedereen,werknemers,7000,0.0044808086508129341
zelfst_voor_iedereen,werknemers,7500,0.0049508888482092846
zelfst_voor_iedereen,werknemers,8000,0.0036506209126633349
zelfst_voor_iedereen,werknemers,8500,0.0027422280354000338
zelfst_voor_iedereen,werknemers,9000,0.0020939578002865159
zelfst_voor_iedereen,werknemers,9500,0.0016225020873191502
zelfst_voor_iedereen,werknemers,10000,0.0018081296506310947
zelfst_voor_iedereen,werknemers,11000,0.0016365280111878113
zelfst_voor_iedereen,werknemers,12000,0.001084534264364743
zelfst_voor_iedereen,werknemers,13000,0.00074295882000986258
zelfst_voor_iedereen,werknemers,14000,0.00052351958633760863
zelfst_voor_iedereen,werknemers,15000,0.0017237639101130926
zelfst_voor_iedereen,zelfstandigen,1550,0.19285857057898881
zelfst_voor_iedereen,zelfstandigen,1800,0.077199000101174364
zelfst_voor_iedereen,zelfstandigen,2000,0.083860221448471411
zelfst_voor_iedereen,zelfstandigen,2250,0.098246475554053039
zelfst_voor_iedereen,zelfstandigen,2500,0.096774511957082324
zelfst_voor_iedereen,zelfstandigen,2750,0.087831685342796034
zelfst_voor_iedereen,zelfstandigen,3000,0.074414977753978512
zelfst_voor_iedereen,zelfstandigen,3250,0.059658326773450857
zelfst_voor_iedereen,zelfstandigen,3500,0.046765998504593558
zelfst_voor_iedereen,zelfstandigen,3750,0.036481994664903115
zelfst_voor_iedereen,zelfstandigen,4000,0.028085756377069452
zelfst_voor_iedereen,zelfstandigen,4250,0.021039332150498101
zelfst_voor_iedereen,zelfstandigen,4500,0.016210107072087972
zelfst_voor_iedereen,zelfstandigen,4750,0.012675173538709067
zelfst_voor_iedereen,zelfstandigen,5000,0.0096473456535740472
zelfst_voor_iedereen,zelfstandigen,5250,0.0076189230605985077
zelfst_voor_iedereen,zelfstandigen,5500,0.0060285114290015082
zelfst_voor_iedereen,zelfstandigen,5750,0.004992091126021306
zelfst_voor_iedereen,zelfstandigen,6000,0.0039754121621454891
zelfst_voor_iedereen,zelfstandigen,6250,0.0033375201423350553
zelfst_voor_iedereen,zelfstandigen,6500,0.0027958671506584975
zelfst_voor_iedereen,zelfstandigen,6750,0.0024417568804735953
zelfst_voor_iedereen,zelfstandigen,7000,0.0044808086508129341
zelfst_voor_iedereen,zelfstandigen,7500,0.0049508888482092846
zelfst_voor_iedereen,zelfstandigen,8000,0.0036506209126633349
zelfst_voor_iedereen,zelfstandigen,8500,0.0027422280354000338
zelfst_voor_iedereen,zelfstandigen,9000,0.0020939578002865159
zelfst_voor_iedereen,zelfstandigen,9500,0.0016225020873191502
zelfst_voor_iedereen,zelfstandigen,10000,0.0018081296506310947
zelfst_voor_iedereen,zelfstandigen,11000,0.0016365280111878113
zelfst_voor_iedereen,zelfstandigen,12000,0.001084534264364743
zelfst_voor_iedereen,zelfstandigen,13000,0.00074295882000986258
zelfst_voor_iedereen,zelfstandigen,14000,0.00052351958633760863
zelfst_voor_iedereen,zelfstandigen,15000,0.0017237639101130926
top_op_laagste,werknemers,1550,0.10026052834335748
top_op_laagste,werknemers,1800,0.055649777915813069
top_op_laagste,werknemers,2000,0.068839886359790312
top_op_laagste,werknemers,2250,0.093317963634336545
top_op_laagste,werknemers,2500,0.10471483434769364
top_op_laagste,werknemers,2750,0.10699639847338274
top_op_laagste,werknemers,3000,0.10132693061934711
top_op_laagste,werknemers,3250,0.087634758614099112
top_op_laagste,werknemers,3500,0.070363756179236167
top_op_laagste,werknemers,3750,0.053521791326472716
top_op_laagste,werknemers,4000,0.039739431838769469
top_op_laagste,werknemers,4250,0.028967701732276568
top_op_laagste,werknemers,4500,0.020838086591928519
top_op_laagste,werknemers,4750,0.015118249128486303
top_op_laagste,werknemers,5000,0.010890188278812711
top_op_laagste,werknemers,5250,0.0080768564585585526
top_op_laagste,werknemers,5500,0.0059247004202776501
top_op_laagste,werknemers,5750,0.0045179349654679499
top_op_laagste,werknemers,6000,0.0035300535351303138
top_op_laagste,werknemers,6250,0.0027233434271641513
top_op_laagste,werknemers,6500,0.0021433961062101944
top_op_laagste,werknemers,6750,0.0017671172059002124
top_op_laagste,werknemers,7000,0.013136314497488488
top_op_laagste,werknemers,7500,0
top_op_laagste,werknemers,8000,0
top_op_laagste,werknemers,8500,0
top_op_laagste,werknemers,9000,0
top_op_laagste,werknemers,9500,0
top_op_laagste,werknemers,10000,0
top_op_laagste,werknemers,11000,0
top_op_laagste,werknemers,12000,0
top_op_laagste,werknemers,13000,0
top_op_laagste,werknemers,14000,0
top_op_laagste,werknemers,15000,0
top_op_laagste,zelfstandigen,1550,0.19285857057898878
top_op_laagste,zelfstandigen,1800,0.07719900010117435
top_op_laagste,zelfstandigen,2000,0.083860221448471398
top_op_laagste,zelfstandigen,2250,0.098246475554053025
top_op_laagste,zelfstandigen,2500,0.09677451195708231
top_op_laagste,zelfstandigen,2750,0.08783168534279602
top_op_laagste,zelfstandigen,3000,0.074414977753978498
top_op_laagste,zelfstandigen,3250,0.05965832677345085
top_op_laagste,zelfstandigen,3500,0.046765998504593551
top_op_laagste,zelfstandigen,3750,0.036481994664903108
top_op_laagste,zelfstandigen,4000,0.028085756377069448
top_op_laagste,zelfstandigen,4250,0.021039332150498097
top_op_laagste,zelfstandigen,4500,0.016210107072087969
top_op_laagste,zelfstandigen,4750,0.012675173538709065
top_op_laagste,zelfstandigen,5000,0.0096473456535740455
top_op_laagste,zelfstandigen,5250,0.0076189230605985068
top_op_laagste,zelfstandigen,5500,0.0060285114290015073
top_op_laagste,zelfstandigen,5750,0.0049920911260213051
top_op_laagste,zelfstandigen,6000,0.0039754121621454882
top_op_laagste,zelfstandigen,6250,0.0033375201423350548
top_op_laagste,zelfstandigen,6500,0.002795867150658497
top_op_laagste,zelfstandigen,6750,0.0024417568804735949
top_op_laagste,zelfstandigen,7000,0.027060440577335462
top_op_laagste,zelfstandigen,7500,0
top_op_laagste,zelfstandigen,8000,0
top_op_laagste,zelfstandigen,8500,0
top_op_laagste,zelfstandigen,9000,0
top_op_laagste,zelfstandigen,9500,0
top_op_laagste,zelfstandigen,10000,0
top_op_laagste,zelfstandigen,11000,0
top_op_laagste,zelfstandigen,12000,0
top_op_laagste,zelfstandigen,13000,0
top_op_laagste,zelfstandigen,14000,0
top_op_laagste,zelfstandigen,15000,0
top_gelijk,werknemers,1550,0.10026052834335748
top_gelijk,werknemers,1800,0.055649777915813069
top_gelijk,werknemers,2000,0.068839886359790312
top_gelijk,werknemers,2250,0.093317963634336545
top_gelijk,werknemers,2500,0.10471483434769364
top_gelijk,werknemers,2750,0.10699639847338274
top_gelijk,werknemers,3000,0.10132693061934711
top_gelijk,werknemers,3250,0.087634758614099112
top_gelijk,werknemers,3500,0.070363756179236167
top_gelijk,werknemers,3750,0.053521791326472716
top_gelijk,werknemers,4000,0.039739431838769469
top_gelijk,werknemers,4250,0.028967701732276568
top_gelijk,werknemers,4500,0.020838086591928519
top_gelijk,werknemers,4750,0.015118249128486303
top_gelijk,werknemers,5000,0.010890188278812711
top_gelijk,werknemers,5250,0.0080768564585585526
top_gelijk,werknemers,5500,0.0059247004202776501
top_gelijk,werknemers,5750,0.0045179349654679499
top_gelijk,werknemers,6000,0.0035300535351303138
top_gelijk,werknemers,6250,0.0027233434271641513
top_gelijk,werknemers,6500,0.0021433961062101944
top_gelijk,werknemers,6750,0.0017671172059002124
top_gelijk,werknemers,7000,0.0015564142943509721
top_gelijk,werknemers,7500,0.0010527182002852287
top_gelijk,werknemers,8000,0.0010527182002852287
top_gelijk,werknemers,8500,0.0010527182002852287
top_gelijk,werknemers,9000,0.0010527182002852287
top_gelijk,werknemers,9500,0.0010527182002852287
top_gelijk,werknemers,10000,0.0010527182002852287
top_gelijk,werknemers,11000,0.0010527182002852287
top_gelijk,werknemers,12000,0.0010527182002852287
top_gelijk,werknemers,13000,0.0010527182002852287
top_gelijk,werknemers,14000,0.0010527182002852287
top_gelijk,werknemers,15000,0.0010527182002852287
top_gelijk,zelfstandigen,1550,0.19285857057898881
top_gelijk,zelfstandigen,1800,0.077199000101174364
top_gelijk,zelfstandigen,2000,0.083860221448471411
top_gelijk,zelfstandigen,2250,0.098246475554053039
top_gelijk,zelfstandigen,2500,0.096774511957082324
top_gelijk,zelfstandigen,2750,0.087831685342796034
top_gelijk,zelfstandigen,3000,0.074414977753978512
top_gelijk,zelfstandigen,3250,0.059658326773450857
top_gelijk,zelfstandigen,3500,0.046765998504593558
top_gelijk,zelfstandigen,3750,0.036481994664903115
top_gelijk,zelfstandigen,4000,0.028085756377069452
top_gelijk,zelfstandigen,4250,0.021039332150498101
top_gelijk,zelfstandigen,4500,0.016210107072087972
top_gelijk,zelfstandigen,4750,0.012675173538709067
top_gelijk,zelfstandigen,5000,0.0096473456535740472
top_gelijk,zelfstandigen,5250,0.0076189230605985077
top_gelijk,zelfstandigen,5500,0.0060285114290015082
top_gelijk,zelfstandigen,5750,0.004992091126021306
top_gelijk,zelfstandigen,6000,0.0039754121621454891
top_gelijk,zelfstandigen,6250,0.0033375201423350553
top_gelijk,zelfstandigen,6500,0.0027958671506584975
top_gelijk,zelfstandigen,6750,0.0024417568804735953
top_gelijk,zelfstandigen,7000,0.0029551345166621014
top_gelijk,zelfstandigen,7500,0.0021913914600612148
top_gelijk,zelfstandigen,8000,0.0021913914600612148
top_gelijk,zelfstandigen,8500,0.0021913914600612148
top_gelijk,zelfstandigen,9000,0.0021913914600612148
top_gelijk,zelfstandigen,9500,0.0021913914600612148
top_gelijk,zelfstandigen,10000,0.0021913914600612148
top_gelijk,zelfstandigen,11000,0.0021913914600612148
top_gelijk,zelfstandigen,12000,0.0021913914600612148
top_gelijk,zelfstandigen,13000,0.0021913914600612148
top_gelijk,zelfstandigen,14000,0.0021913914600612148
top_gelijk,zelfstandigen,15000,0.0021913914600612148
onder_rooster_weg,werknemers,1550,0.050358975712435479
onder_rooster_weg,werknemers,1800,0.058736238395813906
onder_rooster_weg,werknemers,2000,0.072657899596405007
onder_rooster_weg,werknemers,2250,0.098493585489777824
onder_rooster_weg,werknemers,2500,0.1105225520060269
onder_rooster_weg,werknemers,2750,0.11293065675362432
onder_rooster_weg,werknemers,3000,0.10694674760027949
onder_rooster_weg,werknemers,3250,0.092495177276434373
onder_rooster_weg,werknemers,3500,0.074266286625991412
onder_rooster_weg,werknemers,3750,0.056490228936375016
onder_rooster_weg,werknemers,4000,0.041943469131669367
onder_rooster_weg,werknemers,4250,0.030574314911009811
onder_rooster_weg,werknemers,4500,0.021993813230085455
onder_rooster_weg,werknemers,4750,0.015956740856745671
onder_rooster_weg,werknemers,5000,0.01149418234673464
onder_rooster_weg,werknemers,5250,0.0085248168852774687
onder_rooster_weg,werknemers,5500,0.0062532974854931653
onder_rooster_weg,werknemers,5750,0.0047685096891124162
onder_rooster_weg,werknemers,6000,0.0037258381570375114
onder_rooster_weg,werknemers,6250,0.0028743861119009712
onder_rooster_weg,werknemers,6500,0.0022622736223938777
onder_rooster_weg,werknemers,6750,0.0018651254572141984
onder_rooster_weg,werknemers,7000,0.0030614098036939826
onder_rooster_weg,werknemers,7500,0.0031270752746328095
onder_rooster_weg,werknemers,8000,0.0021041148470656011
onder_rooster_weg,werknemers,8500,0.0014503825116113534
onder_rooster_weg,werknemers,9000,0.0010213422607367355
onder_rooster_weg,werknemers,9500,0.00073303822075499857
onder_rooster_weg,werknemers,10000,0.00074800940474135946
onder_rooster_weg,werknemers,11000,0.00060338485683812508
onder_rooster_weg,werknemers,12000,0.00035329722091033059
onder_rooster_weg,werknemers,13000,0.00021599853732990807
onder_rooster_weg,werknemers,14000,0.00013699752631209539
onder_rooster_weg,werknemers,15000,0.0003098332575344009
onder_rooster_weg,zelfstandigen,1550,0.082826544872930882
onder_rooster_weg,zelfstandigen,1800,0.087723007485738511
onder_rooster_weg,zelfstandigen,2000,0.095292307209145291
onder_rooster_weg,zelfstandigen,2250,0.1116397401414596
onder_rooster_weg,zelfstandigen,2500,0.10996711389673403
onder_rooster_weg,zelfstandigen,2750,0.099805173392315955
onder_rooster_weg,zelfstandigen,3000,0.084559458568220724
onder_rooster_weg,zelfstandigen,3250,0.06779113510894362
onder_rooster_weg,zelfstandigen,3500,0.053141284621821015
