type,positie,netto_werkboek,netto_gecorrigeerd,verschil,bindend
ZV50,13000,3627.411917,2552.581949,-1074.829968,maximum
ZV50,14000,3627.411917,2552.581949,-1074.829968,maximum
ZV50,15000,3627.411917,2552.581949,-1074.829968,maximum
ZV00,1550,1682.862893,1682.862893,0,minimum
ZV00,1800,1682.862893,1682.862893,0,minimum
ZV00,2000,1682.862893,1682.862893,0,minimum
ZV00,2250,1682.862893,1682.862893,0,minimum
ZV00,2500,1682.862893,1682.862893,0,minimum
ZV00,2750,1682.862893,1682.862893,0,minimum
ZV00,3000,1682.862893,1682.862893,0,minimum
ZV00,3250,1682.862893,1682.862893,0,minimum
ZV00,3500,1682.862893,1682.862893,0,minimum
ZV00,3750,1682.862893,1682.862893,0,minimum
ZV00,4000,1682.862893,1682.862893,0,minimum
ZV00,4250,1682.862893,1682.862893,0,minimum
ZV00,4500,1682.862893,1682.862893,0,minimum
ZV00,4750,1682.862893,1682.862893,0,minimum
ZV00,5000,1682.862893,1682.862893,0,minimum
ZV00,5250,1682.862893,1682.862893,0,minimum
ZV00,5500,1682.862893,1682.862893,0,minimum
ZV00,5750,1682.862893,1682.862893,0,minimum
ZV00,6000,1682.862893,1682.862893,0,minimum
ZV00,6250,1682.862893,1682.862893,0,minimum
ZV00,6500,1682.862893,1682.862893,0,minimum
ZV00,6750,1682.862893,1682.862893,0,minimum
ZV00,7000,1682.862893,1682.862893,0,minimum
ZV00,7500,1682.862893,1682.862893,0,minimum
ZV00,8000,1682.862893,1682.862893,0,minimum
ZV00,8500,1682.862893,1682.862893,0,minimum
ZV00,9000,1682.862893,1682.862893,0,minimum
ZV00,9500,1682.862893,1682.862893,0,minimum
ZV00,10000,1682.862893,1682.862893,0,minimum
ZV00,11000,1682.862893,1682.862893,0,minimum
ZV00,12000,1682.862893,1682.862893,0,minimum
ZV00,13000,1682.862893,1682.862893,0,minimum
ZV00,14000,1682.862893,1682.862893,0,minimum
ZV00,15000,1682.862893,1682.862893,0,minimum
ZE,1550,1682.862893,1682.862893,0,minimum
ZE,1800,1682.862893,1682.862893,0,minimum
ZE,2000,1682.862893,1682.862893,0,minimum
ZE,2250,1685.703725,1685.703725,0,-
ZE,2500,1802.604193,1802.604193,0,-
ZE,2750,1947.648207,1947.648207,0,-
ZE,3000,2095.820526,2095.820526,0,-
ZE,3250,2241.662758,2241.662758,0,-
ZE,3500,2364.265116,2364.265116,0,-
ZE,3750,2499.336483,2499.336483,0,-
ZE,4000,2648.304154,2552.581949,-95.722205,maximum
ZE,4250,2786.758949,2552.581949,-234.177,maximum
ZE,4500,2920.211274,2552.581949,-367.629325,maximum
ZE,4750,3046.841719,2552.581949,-494.25977,maximum
ZE,5000,3189.869905,2552.581949,-637.287956,maximum
ZE,5250,3331.683066,2552.581949,-779.101117,maximum
ZE,5500,3476.304822,2552.581949,-923.722873,maximum
ZE,5750,3620.926578,2552.581949,-1068.344629,maximum
ZE,6000,3627.411917,2552.581949,-1074.829968,maximum
ZE,6250,3627.411917,2552.581949,-1074.829968,maximum
ZE,6500,3627.411917,2552.581949,-1074.829968,maximum
ZE,6750,3627.411917,2552.581949,-1074.829968,maximum
ZE,7000,3627.411917,2552.581949,-1074.829968,maximum
ZE,7500,3627.411917,2552.581949,-1074.829968,maximum
ZE,8000,3627.411917,2552.581949,-1074.829968,maximum
ZE,8500,3627.411917,2552.581949,-1074.829968,maximum
ZE,9000,3627.411917,2552.581949,-1074.829968,maximum
ZE,9500,3627.411917,2552.581949,-1074.829968,maximum
ZE,10000,3627.411917,2552.581949,-1074.829968,maximum
ZE,11000,3627.411917,2552.581949,-1074.829968,maximum
ZE,12000,3627.411917,2552.581949,-1074.829968,maximum
ZE,13000,3627.411917,2552.581949,-1074.829968,maximum
ZE,14000,3627.411917,2552.581949,-1074.829968,maximum
ZE,15000,3627.411917,2552.581949,-1074.829968,maximum
WN,1550,1682.862893,1682.862893,0,minimum
WN,1800,1682.862893,1682.862893,0,minimum
WN,2000,1682.862893,1682.862893,0,minimum
WN,2250,1682.862893,1682.862893,0,minimum
WN,2500,1915.951779,1915.951779,0,-
WN,2750,2068.574209,2068.574209,0,-
WN,3000,2227.741751,2227.741751,0,-
WN,3250,2363.681042,2363.681042,0,-
WN,3500,2523.795031,2523.795031,0,-
WN,3750,2691.652497,2651.035741,-40.616756,maximum
WN,4000,2836.847649,2651.035741,-185.811908,maximum
WN,4250,2985.253325,2651.035741,-334.217584,maximum
WN,4500,3150.238229,2651.035741,-499.202488,maximum
WN,4750,3306.61628,2651.035741,-655.580539,maximum
WN,5000,3475.024531,2651.035741,-823.98879,maximum
WN,5250,3631.40515,2651.035741,-980.369409,maximum
WN,5500,3799.813401,2651.035741,-1148.77766,maximum
WN,5750,3792.039639,2651.035741,-1141.003898,maximum
WN,6000,3792.039639,2651.035741,-1141.003898,maximum
WN,6250,3792.039639,2651.035741,-1141.003898,maximum
WN,6500,3792.039639,2651.035741,-1141.003898,maximum
WN,6750,3792.039639,2651.035741,-1141.003898,maximum
WN,7000,3792.039639,2651.035741,-1141.003898,maximum
WN,7500,3792.039639,2651.035741,-1141.003898,maximum
WN,8000,3792.039639,2651.035741,-1141.003898,maximum
WN,8500,3792.039639,2651.035741,-1141.003898,maximum
WN,9000,3792.039639,2651.035741,-1141.003898,maximum
WN,9500,3792.039639,2651.035741,-1141.003898,maximum
WN,10000,3792.039639,2651.035741,-1141.003898,maximum
WN,11000,3792.039639,2651.035741,-1141.003898,maximum
WN,12000,3792.039639,2651.035741,-1141.003898,maximum
WN,13000,3792.039639,2651.035741,-1141.003898,maximum
WN,14000,3792.039639,2651.035741,-1141.003898,maximum
WN,15000,3792.039639,2651.035741,-1141.003898,maximum
